"TIPO_EVENTO","DEPARTAMENTO","CODIGO_DANE_DEPARTAMENTO","MUNICIPIO","CODIGO_DANE_MUNICIPIO","AÑO","MES","EVENTO","TIPO_LUGAR","TIPO_AREA","LATITUD_CABECERA","LONGITUD_CABECERA","SITIO","UBICACION"
"Desminado militar en operaciones","META","50","MESETAS","50,330","2,009","10","Incidente","Sin informacion","Rural","3.254167","-73.986389","La Argentina","POINT (-73.986389 3.254167)"
"Desminado militar en operaciones","ANTIOQUIA","5","TARAZÁ","5,790","2,008","6","Incidente","Quebradas","Rural","7.366389","-75.197778","Quebradas Las Doradas","POINT (-75.197778 7.366389)"
"Desminado militar en operaciones","META","50","URIBE","50,370","2,009","10","Incidente","Sin informacion","Rural","3.059167","-74.290833","El San Carlos","POINT (-74.290833 3.059167)"
"Desminado militar en operaciones","CAQUETA","18","MILÁN","18,460","2,009","6","Incidente","Sin informacion","Rural","1.109167","-75.318333","El Yare","POINT (-75.318333 1.109167)"
"Desminado militar en operaciones","ANTIOQUIA","5","URRAO","5,847","2,009","6","Incidente","Sin informacion","Rural","6.373889","-76.475833","El Mande","POINT (-76.475833 6.373889)"
"Desminado militar en operaciones","CAQUETA","18","MONTAÑITA","18,410","2,009","6","Incidente","Sin informacion","Rural","1.438889","-75.297222","La Tigrera","POINT (-75.297222 1.438889)"
"Desminado militar en operaciones","CAQUETA","18","SAN VICENTE DEL CAGUÁN","18,753","2,009","6","Incidente","Sin informacion","Rural","2.526389","-74.693056","El Honduras","POINT (-74.693056 2.526389)"
"Desminado militar en operaciones","ARAUCA","81","PUERTO RONDÓN","81,591","2,009","4","Incidente","Sin informacion","Rural","6.514167","-71.093611","La Esperanza","POINT (-71.093611 6.514167)"
"Desminado militar en operaciones","META","50","MESETAS","50,330","2,009","4","Incidente","Sin informacion","Rural","3.2875","-74.129722","El Ventiaderos","POINT (-74.129722 3.2875)"
"Desminado militar en operaciones","META","50","URIBE","50,370","2,009","4","Incidente","Sin informacion","Rural","2.825","-74.156667","La Amistad","POINT (-74.156667 2.825)"
"Desminado militar en operaciones","CORDOBA","23","TIERRALTA","23,807","2,009","4","Incidente","Sin informacion","Rural","7.923333","-76.297778","La Vereda Taparito","POINT (-76.297778 7.923333)"
"Desminado militar en operaciones","META","50","URIBE","50,370","2,009","3","Incidente","Sin informacion","Rural","3.103333","-74.252222","Vereda El Diviso","POINT (-74.252222 3.103333)"
"Desminado militar en operaciones","META","50","URIBE","50,370","2,009","4","Incidente","Sin informacion","Rural","2.802222","-74.195","La Belleza","POINT (-74.195 2.802222)"
"Desminado militar en operaciones","META","50","PUERTO RICO","50,590","2,009","3","Incidente","Sin informacion","Rural","2.847778","-73.455833","La Vereda Comuneros","POINT (-73.455833 2.847778)"
"Desminado militar en operaciones","META","50","PUERTO RICO","50,590","2,009","2","Incidente","Sin informacion","Rural","2.926944","-73.280556","Las Chispas","POINT (-73.280556 2.926944)"
"Desminado militar en operaciones","CAQUETA","18","SAN VICENTE DEL CAGUÁN","18,753","2,009","10","Incidente","Sin informacion","Rural","2.753889","-74.841667","El Cristo Rey","POINT (-74.841667 2.753889)"
"Desminado militar en operaciones","BOLIVAR","13","SAN PABLO","13,670","2,009","10","Incidente","Sin informacion","Rural","7.512222","-74.109444","El Cañaveral","POINT (-74.109444 7.512222)"
"Desminado militar en operaciones","META","50","VISTAHERMOSA","50,711","2,009","10","Incidente","Sin informacion","Rural","3.125088","-73.752373","El Filo Mico","POINT (-73.752373 3.125088)"
"Desminado militar en operaciones","CAQUETA","18","SAN JOSÉ DEL FRAGUA","18,610","2,009","9","Incidente","Sin informacion","Rural","1.181667","-76.155","La Fraguita","POINT (-76.155 1.181667)"
